n;A;alpha;R^2;suggested_partition;epsilon1;epsilon2
6;20;0;[1, 1, 1, 1, 1, 1];[[1, 2, 3, 4, 5], [0]];1.9895196601282805e-13;0
6;20;1;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];1.678836779873535;0
6;20;2;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];3.7629684766185107;0
6;20;3;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];5.2717921091495725;0
6;20;4;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];6.251771146029199;0
6;20;5;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];6.850839673375077;0
6;20;6;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.190559088456595;0
6;20;7;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.356372364908012;0
6;20;8;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.406045850631088;0
6;20;9;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];7.378365949990865;0
6;100;0;[1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];5.4569682106375694e-12;0
6;100;1;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];41.97091949683818;0
6;100;2;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];94.07421191546109;0
6;100;3;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];131.7948027287398;0
6;100;4;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];156.29427865073012;0
6;100;5;[0.994, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];171.27099183437713;0
6;100;6;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];179.76397721141348;0
6;100;7;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];183.90930912270005;0
6;100;8;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];185.1511462657777;0
6;100;9;[0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5]];184.4591487497728;0
7;20;0;[1, 1, 1, 1, 1, 1, 1];[[1, 2, 3, 4, 5], [0, 6]];3.979039320256561e-13;0
7;20;1;[0.937, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];1.7388822665606511;0
7;20;2;[0.915, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];4.60120706042953;0
7;20;3;[0.896, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];7.309726580240678;0
7;20;4;[0.881, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];9.568142103261977;0
7;20;5;[0.867, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];11.357496723300216;0
7;20;6;[0.856, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];12.7370556186861;0
7;20;7;[0.847, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];13.78005838863512;0
7;20;8;[0.839, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];14.553685563334469;0
7;20;9;[0.832, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];15.114096284251474;0
7;100;0;[1, 1, 1, 1, 1, 1, 1];[[1, 3, 4, 5], [2, 6], [0]];9.094947017729282e-12;0
7;100;1;[0.937, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];43.47205666401669;0
